"Value","Reference","Footprint","LCSC Part Number"
"10u","C1","C_0603_1608Metric","C19702"
"4u7","C10,C11","C_0805_2012Metric","C1779"
"100n","C2,C3,C4,C5,C6,C14","C_0402_1005Metric","C307331"
"10n","C7,C12,C13","C_0402_1005Metric","C15195"
"1u","C8,C9,C15,C16,C17,C18","C_0402_1005Metric","C52923"
"600R","FB1","L_0603_1608Metric","C1002"
"100","R5","R_0402_1005Metric","C25076"
"4k7","R1,R6,R7","R_0402_1005Metric","C25900"
"1M","R12,R13","R_0402_1005Metric","C26083"
"22k","R15,R17,R19,R21","R_0402_1005Metric","C25768"
"10k","R2,R8,R9,R10,R11,R14,R16,R18,R20","R_0402_1005Metric","C25744"
"100k","R4,R22,R23","R_0402_1005Metric","C25741"
"EC12E24204A2","SW2","SW-TH_EC12E24204A2","C351238"
"STM32F103RET6","U1","LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL","C8322"
"AP7361C-33E","U2","SOT-223_L6.5-W3.5-P2.30-LS7.0-BR","C500795"
