Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_0603_1608Metric",81.800000,-109.200000,90.000000,top
"C2","100n","C_0402_1005Metric",83.820000,-109.115000,90.000000,top
"C3","100n","C_0402_1005Metric",95.320000,-112.365000,180.000000,top
"C4","100n","C_0402_1005Metric",83.570000,-102.365000,90.000000,top
"C5","100n","C_0402_1005Metric",94.460000,-97.615000,180.000000,top
"C6","100n","C_0402_1005Metric",98.820000,-101.710000,-90.000000,top
"C7","10n","C_0402_1005Metric",89.536800,-97.615000,0.000000,top
"C8","1u","C_0402_1005Metric",88.300000,-95.955000,180.000000,top
"C9","1u","C_0402_1005Metric",88.290000,-94.555000,180.000000,top
"C10","4u7","C_0805_2012Metric",96.550000,-77.617500,-90.000000,top
"C11","4u7","C_0805_2012Metric",96.550000,-81.555000,90.000000,top
"C12","10n","C_0402_1005Metric",119.685000,-98.750000,-90.000000,top
"C13","10n","C_0402_1005Metric",120.575000,-101.200000,-90.000000,top
"C14","100n","C_0402_1005Metric",87.815000,-87.785000,0.000000,top
"C15","1u","C_0402_1005Metric",68.475000,-106.490000,90.000000,top
"C16","1u","C_0402_1005Metric",95.917000,-126.500000,-90.000000,top
"C17","1u","C_0402_1005Metric",85.750000,-124.750000,-90.000000,top
"C18","1u","C_0402_1005Metric",106.165000,-124.940000,-90.000000,top
"DFPlayerMini1","~","DFplayer-Mini",100.630000,-81.542000,90.000000,top
"FB1","600R","L_0603_1608Metric",90.260000,-95.242500,90.000000,top
"J1","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",105.600000,-99.840000,0.000000,top
"J2","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",104.425000,-118.725000,90.000000,top
"J3","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",84.925000,-114.400000,-90.000000,top
"J4","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",114.475000,-97.260000,0.000000,top
"J5","Conn_01x02_Socket","PinHeader_1x02_P2.54mm_Vertical",115.200000,-70.530000,60.000000,top
"J6","Conn_01x02_Socket","PinHeader_1x02_P2.54mm_Vertical",108.200000,-68.000000,75.000000,top
"J7","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",77.600000,-93.520000,0.000000,top
"J8","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",130.108197,-86.577205,-149.000000,top
"OLED-15W-C1","~","PinSocket_1x07_P2.54mm_Vertical",119.640000,-115.000000,-90.000000,top
"Q1","STP60NF06L","TO-220-3_Vertical",115.550000,-79.310000,-90.000000,top
"R1","4k7","R_0402_1005Metric",82.050000,-82.050000,0.000000,top
"R2","10k","R_0402_1005Metric",100.060000,-102.615000,-90.000000,top
"R4","100k","R_0402_1005Metric",108.650000,-81.450000,180.000000,top
"R5","100","R_0402_1005Metric",108.740000,-84.050000,0.000000,top
"R6","4k7","R_0402_1005Metric",102.800000,-104.400000,90.000000,top
"R7","4k7","R_0402_1005Metric",102.800000,-102.400000,-90.000000,top
"R8","10k","R_0402_1005Metric",120.685000,-96.605000,-90.000000,top
"R9","10k","R_0402_1005Metric",118.960000,-97.130000,180.000000,top
"R10","10k","R_0402_1005Metric",120.575000,-103.375000,90.000000,top
"R11","10k","R_0402_1005Metric",120.575000,-105.575000,90.000000,top
"R12","1M","R_0402_1005Metric",87.785000,-86.585000,0.000000,top
"R13","1M","R_0402_1005Metric",85.815000,-86.585000,0.000000,top
"R14","10k","R_0402_1005Metric",70.000000,-93.890000,90.000000,top
"R15","22k","R_0402_1005Metric",69.600000,-106.490000,90.000000,top
"R16","10k","R_0402_1005Metric",103.816400,-126.609600,90.000000,top
"R17","22k","R_0402_1005Metric",97.187000,-126.500000,-90.000000,top
"R18","10k","R_0402_1005Metric",93.500000,-124.750000,90.000000,top
"R19","22k","R_0402_1005Metric",87.000000,-124.750000,-90.000000,top
"R20","10k","R_0402_1005Metric",113.250000,-124.740000,90.000000,top
"R21","22k","R_0402_1005Metric",107.500000,-124.940000,-90.000000,top
"R22","100k","R_0402_1005Metric",94.300000,-88.725000,-90.000000,top
"R23","100k","R_0402_1005Metric",96.900000,-88.635000,-90.000000,top
"SW2","EC12E24204A2","RotaryEncoder_Alps_EC12E_Vertical_H20mm_Mounting-Holes-GND",130.000000,-100.000000,0.000000,top
"SW3","SW_Push","SW_PUSH_6mm_H13mm",67.750000,-100.000000,90.000000,top
"SW4","SW_Push","SW_PUSH_6mm_H13mm",100.000000,-131.500000,180.000000,top
"SW5","SW_Push","SW_PUSH_6mm_H13mm_No-Pad_Top-Right",90.000000,-129.870000,180.000000,top
"SW6","SW_Push","SW_PUSH_6mm_H13mm_No-Pad_Top-Left",110.000000,-129.870000,180.000000,top
"U1","STM32F103RET6","LQFP-64_10x10mm_P0.5mm",91.260000,-104.980000,-90.000000,top
"U2","AP7361C-33E","SOT-223-3_TabPin2",102.700000,-79.600000,0.000000,top
