 t [s],a_x_raw [m/s^2],a_y_raw [m/s^2],a_z_raw [m/s^2],a_x_filtered [m/s^2],a_y_filtered [m/s^2],a_z_filtered [m/s^2]
  0.00,   -0.00,    0.84,   -8.01,    0.03,   -0.04,   -0.20
  0.02,   -0.52,    0.64,   -7.22,   -0.14,   -0.01,   -0.22
  0.04,   -0.74,    0.22,   -7.15,    0.02,   -0.01,   -0.05
  0.06,   -1.07,    0.02,   -7.60,    0.05,   -0.03,   -0.07
  0.08,   -0.80,   -0.02,   -7.81,   -0.03,   -0.01,   -0.32
  0.10,   -0.63,    0.15,   -7.90,   -0.04,    0.00,   -0.15
  0.13,   -1.00,   -0.01,   -8.45,   -0.02,    0.03,   -0.19
  0.15,   -1.45,    0.17,   -9.29,   -0.04,   -0.01,   -0.28
  0.17,   -0.97,   -0.33,  -10.13,   -0.06,   -0.02,   -0.13
  0.19,   -0.57,   -0.58,  -10.40,    0.02,   -0.01,   -0.24
  0.21,   -0.63,   -0.24,   -9.62,    0.02,    0.01,   -0.17
  0.23,   -0.81,    0.04,   -9.56,    0.02,    0.01,   -0.08
  0.25,   -0.73,   -0.32,   -9.46,    0.01,   -0.01,   -0.09
  0.27,   -0.62,   -0.40,   -9.56,    0.02,    0.01,   -0.12
  0.29,   -0.53,   -0.42,   -9.89,   -0.02,   -0.02,   -0.22
  0.32,   -0.47,   -0.08,  -10.05,    0.01,   -0.01,   -0.23
  0.34,   -0.71,   -0.20,  -10.34,    0.00,   -0.04,   -0.20
  0.36,   -0.85,   -0.26,  -10.38,    0.03,   -0.01,   -0.11
  0.38,   -1.28,   -0.06,   -9.90,    0.01,    0.05,   -0.14
  0.40,   -1.47,    0.19,   -9.90,   -0.11,    0.01,   -0.17
  0.42,   -1.91,   -0.03,   -9.76,   -0.03,    0.02,   -0.17
  0.44,   -1.59,   -0.14,   -9.87,   -0.04,    0.02,   -0.14
  0.46,   -1.52,   -0.21,   -9.63,    0.04,    0.04,   -0.08
  0.48,   -1.43,   -0.03,   -9.43,    0.09,    0.02,   -0.16
  0.50,   -1.52,    0.09,   -9.28,    0.05,   -0.01,   -0.24
  0.53,   -1.72,   -0.15,   -8.97,    0.02,   -0.05,   -0.21
  0.55,   -1.49,   -0.16,   -8.71,   -0.10,   -0.01,   -0.16
  0.57,   -1.37,   -0.05,   -8.99,   -0.02,    0.00,   -0.10
